index,timestamp,power.draw [W],utilization.gpu [%],utilization.memory [%],memory.total [MiB],memory.used [MiB],memory.free [MiB]
0,2023/10/18 17:40:49.519,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:49.525,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:49.532,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:49.540,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:49.548,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:49.556,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:49.562,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:49.569,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:49.676,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:49.684,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:49.693,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:49.700,60.49,0,0,81920,4,81046
4,2023/10/18 17:40:49.707,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:49.714,63.65,0,0,81920,4,81046
6,2023/10/18 17:40:49.722,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:49.730,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:49.836,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:49.843,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:49.849,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:49.856,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:49.862,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:49.872,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:49.879,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:49.887,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:49.994,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:49.999,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:50.004,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:50.015,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:50.022,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:50.029,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:50.036,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:50.044,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:50.153,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:50.158,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:50.164,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:50.172,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:50.179,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:50.189,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:50.196,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:50.201,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:50.309,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:50.317,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:50.324,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:50.330,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:50.336,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:50.343,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:50.348,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:50.356,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:50.465,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:50.472,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:50.478,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:50.485,60.49,0,0,81920,4,81046
4,2023/10/18 17:40:50.494,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:50.502,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:50.510,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:50.516,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:50.622,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:50.628,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:50.637,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:50.641,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:50.648,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:50.654,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:50.661,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:50.670,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:50.777,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:50.784,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:50.794,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:50.804,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:50.810,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:50.816,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:50.825,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:50.833,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:50.941,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:50.947,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:50.955,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:50.962,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:50.969,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:50.976,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:50.982,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:50.989,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:51.095,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:51.102,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:51.109,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:51.115,60.49,0,0,81920,4,81046
4,2023/10/18 17:40:51.122,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:51.128,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:51.135,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:51.143,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:51.251,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:51.257,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:51.262,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:51.270,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:51.278,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:51.286,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:51.295,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:51.299,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:51.407,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:51.414,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:51.420,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:51.427,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:51.433,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:51.443,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:51.450,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:51.457,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:51.565,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:51.573,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:51.580,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:51.588,60.88,0,0,81920,4,81046
4,2023/10/18 17:40:51.596,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:51.605,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:51.615,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:51.620,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:51.728,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:51.733,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:51.740,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:51.746,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:51.754,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:51.766,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:51.774,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:51.780,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:51.885,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:51.893,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:51.899,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:51.906,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:51.916,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:51.936,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:51.948,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:51.955,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:52.062,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:52.076,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:52.084,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:52.090,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:52.099,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:52.104,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:52.111,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:52.118,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:52.225,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:52.233,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:52.244,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:52.251,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:52.257,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:52.264,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:52.275,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:52.284,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:52.397,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:52.411,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:52.426,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:52.442,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:52.451,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:52.457,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:52.463,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:52.467,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:52.574,65.46,0,0,81920,4,81046
1,2023/10/18 17:40:52.581,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:52.588,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:52.596,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:52.607,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:52.615,63.65,0,0,81920,4,81046
6,2023/10/18 17:40:52.626,64.60,0,0,81920,4,81046
